time,Wind_DE,PV_DE,Wind_SE,PV_SE,Wind_DK,PV_DK,Load_DE,Load_DK,Load_SE,Hydro_inflow
0,0.8645,0,0.0175,0,0.8991,0,54030.6,4141.852,18687.5,12811.695
1,0.8742,0,0.0245,0,0.9284,0,52130,3991.091,18398.9,12811.695
2,0.8842,0,0.0285,0,0.9399,0,50547.9,3856.047,18064.8,12811.695
3,0.9065,0,0.0293,0,0.9432,0,50447.8,3813.524,18141.5,12811.695
4,0.9247,0,0.0302,0,0.9459,0,50170.9,3822.832,18415.8,12811.695
5,0.9285,0,0.0322,0,0.954,0,49582,3946.488,18657.6,12811.695
6,0.9223,0,0.0432,0,0.9548,0,50364.6,4030.663,19249.1,12811.695
7,0.9283,0.001636363636364,0.0649,0,0.9577,0,51032.8,4170.53,19583.2,12811.695
8,0.9379,0.021636363636364,0.1055,0.006,0.9654,0.014,54623.4,4338.347,20139.6,12811.695
9,0.9501,0.057181818181818,0.1482,0.033,0.9725,0.067,57892.9,4590.053,20553,12811.695
10,0.962,0.085363636363636,0.171,0.058,0.9777,0.13,61735.7,4782.83,20858.5,12811.695
11,0.9718,0.093181818181818,0.1826,0.057,0.9801,0.141,64039.3,4870.892,21130.2,12811.695
12,0.9782,0.087545454545455,0.1915,0.036,0.9788,0.121,63481.6,4889.469,21217.3,12811.695
13,0.9809,0.051818181818182,0.1832,0.009,0.9791,0.054,63173.5,4940.702,21936.2,12811.695
14,0.9809,0.015,0.1673,0,0.9819,0.005,63473.8,4888.754,22666.8,12811.695
15,0.9791,0,0.1625,0,0.9831,0,65813.8,5462.86,23624.9,12811.695
16,0.9738,0,0.1613,0,0.979,0,69930.9,5699.369,23904.4,12811.695
17,0.9659,0,0.1667,0,0.9706,0,70682.3,5668.494,23660,12811.695
18,0.956,0,0.1758,0,0.959,0,69959.5,5378.373,23042.5,12811.695
19,0.9441,0,0.1829,0,0.9521,0,67091.7,5127.837,22651.2,12811.695
20,0.9375,0,0.1828,0,0.9459,0,64607.4,4772.443,22139,12811.695
21,0.9407,0,0.1532,0,0.946,0,63516.7,4490.668,21768.5,12811.695
22,0.9458,0,0.1267,0,0.9447,0,59920.9,4171.089,21235.5,12811.695
23,0.9513,0,0.1021,0,0.9462,0,57613.4,3936.543,20810.4,12811.695
24,0.9503,0,0.0714,0,0.9456,0,55656.9,3829.891,20719.4,12232.74
25,0.947,0,0.0548,0,0.941,0,55013.4,3756.753,20502.3,12232.74
26,0.94,0,0.0406,0,0.9296,0,54514.2,3798.067,20660.9,12232.74
27,0.9259,0,0.0293,0,0.9135,0,56689.1,3909.061,21141.9,12232.74
28,0.9047,0,0.021,0,0.901,0,60401.9,4172.818,21994.7,12232.74
29,0.8822,0,0.0151,0,0.8798,0,68027.7,4866.381,23660,12232.74
30,0.852,0,0.0143,0,0.8518,0,75056.8,5597.397,25684.1,12232.74
31,0.8129,0.004454545454545,0.0147,0,0.8094,0,79242.8,6014.424,26629.2,12232.74
32,0.7685,0.067636363636364,0.0146,0.031,0.7568,0.087,81682.9,6160.076,26770.9,12232.74
33,0.7226,0.144727272727273,0.015,0.102,0.7255,0.231,83536.7,6138.041,27158.3,12232.74
34,0.678,0.209272727272727,0.0141,0.15,0.7018,0.314,85064.2,6139.38,26796.9,12232.74
35,0.6473,0.219727272727273,0.011,0.146,0.6722,0.324,85416.5,6007.56,26965.9,12232.74
36,0.6363,0.186636363636364,0.0074,0.096,0.6423,0.265,84303.7,6009.874,26965.9,12232.74
37,0.6308,0.127181818181818,0.0053,0.031,0.616,0.155,82261.4,5922.384,27600.3,12232.74
38,0.6197,0.049545454545455,0.0058,0,0.5757,0.029,82360.2,5873.27,28163.2,12232.74
39,0.5956,0.000454545454545,0.008,0,0.5166,0,83577,6193.85,28596.1,12232.74
40,0.5629,0,0.0099,0,0.4584,0,88740.6,6794.827,28706.6,12232.74
41,0.5288,0,0.0115,0,0.3844,0,88606.7,6606.288,28185.3,12232.74
42,0.4937,0,0.0161,0,0.3272,0,85879.3,6167.291,27346.8,12232.74
43,0.4639,0,0.0241,0,0.2896,0,81305.9,5733.793,26828.1,12232.74
44,0.4407,0,0.0318,0,0.2631,0,77455.3,5356.962,25846.6,12232.74
45,0.4283,0,0.0393,0,0.2501,0,74878.7,4954.3,24640.2,12232.74
46,0.4288,0,0.048,0,0.2484,0,69264,4586.023,23630.1,12232.74
47,0.4357,0,0.062,0,0.2627,0,64893.4,4370.431,22734.4,12232.74
48,0.4415,0,0.0825,0,0.28,0,63229.4,4205.149,22220.9,12162.1175
49,0.4472,0,0.1124,0,0.2936,0,62506.6,4158.661,21869.9,12162.1175
50,0.4579,0,0.1275,0,0.3059,0,62219.3,4209.595,21931,12162.1175
51,0.4704,0,0.1423,0,0.3068,0,62934.3,4307.667,22088.3,12162.1175
52,0.4816,0,0.1495,0,0.3015,0,66281.8,4584.567,22926.8,12162.1175
53,0.4793,0,0.1452,0,0.2991,0,72614.1,5314.855,24775.4,12162.1175
54,0.4462,0,0.1354,0,0.2888,0,79232.4,6164.821,26795.6,12162.1175
55,0.3855,0.022636363636364,0.143,0,0.2636,0,83410.6,6468.943,27833,12162.1175
56,0.3137,0.149909090909091,0.1435,0.017,0.2254,0.062,85755.8,6446.934,27870.7,12162.1175
57,0.26,0.267545454545455,0.1426,0.051,0.1789,0.127,86292.7,6463.964,27796.6,12162.1175
58,0.2206,0.314363636363636,0.1386,0.07,0.1406,0.157,87912.5,6447.038,27547,12162.1175
59,0.1895,0.294636363636364,0.1221,0.067,0.1128,0.165,88132.2,6342.336,27510.6,12162.1175
60,0.165,0.220272727272727,0.1008,0.045,0.1006,0.146,86516.3,6355.271,27327.3,12162.1175
61,0.1564,0.137636363636364,0.087,0.013,0.1103,0.088,85157.8,6255.834,27274,12162.1175
62,0.1522,0.043272727272727,0.078,0,0.1172,0.017,84308.9,6212.089,27498.9,12162.1175
63,0.1369,0.000181818181818,0.074,0,0.1078,0,85780.5,6560.398,28616.9,12162.1175
64,0.1094,0,0.0794,0,0.1183,0,89973,7105.384,28559.7,12162.1175
65,0.0784,0,0.0849,0,0.142,0,89906.7,6783.79,28008.5,12162.1175
66,0.0601,0,0.0904,0,0.1661,0,87201.4,6326.203,26925.6,12162.1175
67,0.0743,0,0.1029,0,0.1999,0,82521.4,5896.436,26309.4,12162.1175
68,0.0938,0,0.1179,0,0.2373,0,78861.9,5496.4,25022.4,12162.1175
69,0.1,0,0.1383,0,0.2724,0,75855,5093.491,23890.1,12162.1175
70,0.1059,0,0.1562,0,0.2989,0,71613.1,4658.55,22447.1,12162.1175
71,0.1336,0,0.1604,0,0.3419,0,67233.4,4399.668,21492.9,12162.1175
72,0.1879,0,0.1592,0,0.3976,0,63904.1,4258.02,21269.3,11420.9008333333
73,0.2494,0,0.1603,0,0.45,0,63172.2,4135.534,21037.9,11420.9008333333
74,0.3166,0,0.1694,0,0.4825,0,63235.9,4208.789,20878,11420.9008333333
75,0.3737,0,0.1797,0,0.5228,0,64231.7,4294.459,20748,11420.9008333333
76,0.4239,0,0.2021,0,0.517,0,66887.6,4654,21248.5,11420.9008333333
77,0.4764,0,0.2419,0,0.5526,0,73635.9,5322.408,23695.1,11420.9008333333
78,0.5063,0,0.2909,0,0.5894,0,81121.3,6184.737,25399.4,11420.9008333333
79,0.5253,0.003818181818182,0.3278,0,0.5824,0,85259.2,6489.808,26468,11420.9008333333
80,0.494,0.039545454545455,0.36,0.006,0.5502,0.01,87625.2,6501.391,26432.9,11420.9008333333
81,0.4643,0.075636363636364,0.3863,0.03,0.4927,0.067,88624.9,6588.036,26559,11420.9008333333
82,0.438,0.105181818181818,0.4157,0.058,0.4861,0.126,89696.1,6493.227,26096.2,11420.9008333333
83,0.4204,0.132727272727273,0.4707,0.062,0.493,0.134,90309.7,6260.722,25659.4,11420.9008333333
84,0.4217,0.105727272727273,0.5268,0.041,0.5018,0.092,89163.1,6185.153,25382.5,11420.9008333333
85,0.44,0.053909090909091,0.5569,0.012,0.5273,0.038,87258.6,6006.078,24885.9,11420.9008333333
86,0.4589,0.015363636363636,0.5593,0,0.5673,0.003,86863.4,5974.774,25054.9,11420.9008333333
87,0.4875,9.09090909090909E-05,0.564,0,0.5994,0,88535.2,6310.798,25616.5,11420.9008333333
88,0.5035,0,0.5617,0,0.6009,0,90741.3,6704.399,25733.5,11420.9008333333
89,0.5103,0,0.5695,0,0.6213,0,89836.5,6469.177,25190.1,11420.9008333333
90,0.5344,0,0.571,0,0.6364,0,86598.2,5949.905,24308.7,11420.9008333333
91,0.5765,0,0.5738,0,0.6334,0,80727.4,5523.596,23584.6,11420.9008333333
92,0.5865,0,0.5813,0,0.6078,0,77096.5,5116.085,22652.5,11420.9008333333
93,0.5976,0,0.6281,0,0.6066,0,75132.2,4821.011,21494.2,11420.9008333333
94,0.6109,0,0.6692,0,0.5987,0,69763.2,4512.911,20768.8,11420.9008333333
95,0.6082,0,0.6691,0,0.5831,0,66014,4260.516,20269.6,11420.9008333333
96,0.611,0,0.6523,0,0.5521,0,63421.8,4016.857,19693.7,11079.3691666667
97,0.6246,0,0.6196,0,0.5228,0,61943.7,3918.421,19363.5,11079.3691666667
98,0.6266,0,0.5813,0,0.503,0,61278.1,3998.423,19436.3,11079.3691666667
99,0.6148,0,0.5549,0,0.461,0,62297.3,3919.344,19631.3,11079.3691666667
100,0.6025,0,0.5448,0,0.412,0,62097.1,3964.87,19884.8,11079.3691666667
101,0.5983,0,0.53,0,0.3566,0,62946,4163.601,20476.3,11079.3691666667
102,0.5899,0,0.4849,0,0.3013,0,65209.3,4535.648,21457.8,11079.3691666667
103,0.572,9.09090909090909E-05,0.4344,0,0.2442,0,69707.3,4912.115,22283.3,11079.3691666667
104,0.5396,0.010727272727273,0.4025,0.007,0.1891,0.023,73492.9,5119.777,22990.5,11079.3691666667
105,0.5182,0.032,0.3881,0.037,0.1359,0.089,76852.1,5242.809,23745.8,11079.3691666667
106,0.5043,0.054272727272727,0.3829,0.069,0.1011,0.173,78947.7,5216.913,24105.9,11079.3691666667
107,0.4849,0.059818181818182,0.3701,0.076,0.0879,0.202,79073.8,5114.46,23834.2,11079.3691666667
108,0.4694,0.048636363636364,0.3722,0.049,0.0758,0.162,77292.8,5057.741,23614.5,11079.3691666667
109,0.4526,0.031181818181818,0.3716,0.016,0.0791,0.083,75570.3,5069.025,23818.6,11079.3691666667
